epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,183.857,0.53296,0.52842,0.99529,0.95154,0.97222,0.9728,0.87367,0.45413,0.3936,0.88806,0.000170161,0.000170161,0.000170161
43,188.32,0.52405,0.52889,0.98673,0.95112,0.97087,0.9734,0.89598,0.4521,0.38013,0.89344,0.000161482,0.000161482,0.000161482
44,192.183,0.53299,0.49156,0.97463,0.94666,0.96563,0.97409,0.88799,0.44987,0.39016,0.88655,0.000152803,0.000152803,0.000152803
45,195.779,0.51063,0.49244,0.95561,0.95039,0.97896,0.97496,0.8871,0.45533,0.38539,0.88558,0.000144124,0.000144124,0.000144124
46,200.432,0.48121,0.4822,0.9656,0.96358,0.98027,0.97915,0.89208,0.45374,0.37656,0.88076,0.000135445,0.000135445,0.000135445
47,204.199,0.50731,0.49599,0.96968,0.96834,0.98071,0.97959,0.89153,0.4495,0.36964,0.87321,0.000126766,0.000126766,0.000126766
48,207.75,0.50933,0.49057,0.96373,0.96301,0.97786,0.9794,0.88272,0.44089,0.36973,0.86835,0.000118087,0.000118087,0.000118087
49,212.406,0.52281,0.47909,0.98108,0.96775,0.96992,0.97863,0.88947,0.43961,0.36403,0.86689,0.000109408,0.000109408,0.000109408
50,216.149,0.49241,0.47175,0.95916,0.95682,0.97524,0.97865,0.89559,0.42731,0.35578,0.85971,0.000100729,0.000100729,0.000100729
51,224.615,0.42395,0.41634,0.90089,0.95239,0.98018,0.97883,0.89788,0.41029,0.33758,0.8533,9.205e-05,9.205e-05,9.205e-05
52,229.322,0.40075,0.38925,0.89957,0.95156,0.98545,0.98002,0.90513,0.40344,0.33372,0.85145,8.3371e-05,8.3371e-05,8.3371e-05
53,233.479,0.37837,0.3674,0.86298,0.95508,0.9873,0.9803,0.90493,0.40241,0.33181,0.85014,7.4692e-05,7.4692e-05,7.4692e-05
54,238.118,0.36958,0.37512,0.86622,0.95935,0.98569,0.98056,0.90562,0.39861,0.32994,0.84719,6.6013e-05,6.6013e-05,6.6013e-05
55,242.26,0.38355,0.36386,0.87335,0.95849,0.98563,0.98043,0.90302,0.40525,0.32675,0.85022,5.7334e-05,5.7334e-05,5.7334e-05
56,245.91,0.35591,0.35699,0.8675,0.95349,0.98733,0.98019,0.90723,0.40208,0.3216,0.84937,4.8655e-05,4.8655e-05,4.8655e-05
57,249.975,0.37611,0.35115,0.88149,0.95852,0.97934,0.98008,0.90804,0.39346,0.32048,0.84623,3.9976e-05,3.9976e-05,3.9976e-05
58,254.388,0.34086,0.32826,0.84765,0.96337,0.98328,0.98036,0.91153,0.38412,0.31797,0.84004,3.1297e-05,3.1297e-05,3.1297e-05
59,258.142,0.33934,0.33488,0.88049,0.96491,0.98113,0.98036,0.91459,0.37946,0.31664,0.83746,2.2618e-05,2.2618e-05,2.2618e-05
60,261.811,0.34934,0.33218,0.86019,0.96534,0.97925,0.98036,0.91204,0.37822,0.31445,0.83665,1.3939e-05,1.3939e-05,1.3939e-05
